Tick;Step;Rule;speed;0_Position;1_Position;ID
0;0;;1.5;91;7;6a51b22d-3640-40f2-91e3-95587ea6605a
0;0;;1.5;132;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
0;0;;1.5;199;1;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
0;0;;1.5;130;1;0193dabb-4810-4d11-842b-6ba905240ebb
0;0;;1.5;2;7;b7fd22e4-83af-4875-99e4-a04860578d25
0;0;;1.5;18;9;b7779038-56d6-4363-929f-aef47f760de4
0;0;;1.5;37;0;596f26b4-de5f-4927-a4b7-43eb97bfb856
0;0;;1.5;68;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
0;0;;1.5;66;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
0;0;;1.5;30;1;4fd36160-e387-4502-b545-41e9ecd02684
1;1;;1.5;92;7;6a51b22d-3640-40f2-91e3-95587ea6605a
1;1;;1.5;133;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
1;1;;1.5;200;1;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
1;1;;1.5;131;1;0193dabb-4810-4d11-842b-6ba905240ebb
1;1;;1.5;3;7;b7fd22e4-83af-4875-99e4-a04860578d25
1;1;;1.5;18;10;b7779038-56d6-4363-929f-aef47f760de4
1;1;;1.5;38;0;596f26b4-de5f-4927-a4b7-43eb97bfb856
1;1;;1.5;69;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
1;1;;1.5;67;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
1;1;;1.5;31;0;4fd36160-e387-4502-b545-41e9ecd02684
2;2;;1.5;94;7;6a51b22d-3640-40f2-91e3-95587ea6605a
2;2;;1.5;134;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
2;2;;1.5;201;1;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
2;2;;1.5;132;1;0193dabb-4810-4d11-842b-6ba905240ebb
2;2;;1.5;4;7;b7fd22e4-83af-4875-99e4-a04860578d25
2;2;;1.5;18;11;b7779038-56d6-4363-929f-aef47f760de4
2;2;;1.5;39;0;596f26b4-de5f-4927-a4b7-43eb97bfb856
2;2;;1.5;70;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
2;2;;1.5;68;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
2;2;;1.5;0;31;4fd36160-e387-4502-b545-41e9ecd02684
3;3;;1.5;95;7;6a51b22d-3640-40f2-91e3-95587ea6605a
3;3;;1.5;135;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
3;3;;1.5;202;1;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
3;3;;1.5;133;1;0193dabb-4810-4d11-842b-6ba905240ebb
3;3;;1.5;5;7;b7fd22e4-83af-4875-99e4-a04860578d25
3;3;;1.5;18;12;b7779038-56d6-4363-929f-aef47f760de4
3;3;;1.5;0;39;596f26b4-de5f-4927-a4b7-43eb97bfb856
3;3;;1.5;71;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
3;3;;1.5;69;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
3;3;;1.5;1;30;4fd36160-e387-4502-b545-41e9ecd02684
4;4;;1.5;96;7;6a51b22d-3640-40f2-91e3-95587ea6605a
4;4;;1.5;136;0;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
4;4;;1.5;203;1;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
4;4;;1.5;134;1;0193dabb-4810-4d11-842b-6ba905240ebb
4;4;;1.5;6;7;b7fd22e4-83af-4875-99e4-a04860578d25
4;4;;1.5;18;13;b7779038-56d6-4363-929f-aef47f760de4
4;4;;1.5;1;38;596f26b4-de5f-4927-a4b7-43eb97bfb856
