Tick;Step;Rule;speed;0_Position;1_Position;ID
0;0;;1;230;5;a86667f6-76a5-440d-811a-9885aa6702b0
0;0;;1;237;5;452f497d-cfb1-4464-b332-d24c335eec12
0;0;;1;17;5;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
1;1;;1;230;6;a86667f6-76a5-440d-811a-9885aa6702b0
1;1;;1;237;6;452f497d-cfb1-4464-b332-d24c335eec12
1;1;;1;17;6;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
2;2;;1;230;7;a86667f6-76a5-440d-811a-9885aa6702b0
2;2;;1;237;7;452f497d-cfb1-4464-b332-d24c335eec12
2;2;;1;17;7;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
3;3;;1;230;8;a86667f6-76a5-440d-811a-9885aa6702b0
3;3;;1;237;8;452f497d-cfb1-4464-b332-d24c335eec12
3;3;;1;17;8;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
4;4;;1;230;9;a86667f6-76a5-440d-811a-9885aa6702b0
4;4;;1;237;9;452f497d-cfb1-4464-b332-d24c335eec12
4;4;;1;17;9;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
5;5;;1;230;10;a86667f6-76a5-440d-811a-9885aa6702b0
5;5;;1;237;10;452f497d-cfb1-4464-b332-d24c335eec12
5;5;;1;17;10;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
6;6;;1;230;11;a86667f6-76a5-440d-811a-9885aa6702b0
6;6;;1;237;11;452f497d-cfb1-4464-b332-d24c335eec12
6;6;;1;17;11;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
7;7;;1;230;12;a86667f6-76a5-440d-811a-9885aa6702b0
7;7;;1;237;12;452f497d-cfb1-4464-b332-d24c335eec12
7;7;;1;17;12;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
8;8;;1;230;13;a86667f6-76a5-440d-811a-9885aa6702b0
8;8;;1;237;13;452f497d-cfb1-4464-b332-d24c335eec12
8;8;;1;17;13;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
9;9;;1;230;14;a86667f6-76a5-440d-811a-9885aa6702b0
9;9;;1;237;14;452f497d-cfb1-4464-b332-d24c335eec12
9;9;;1;17;14;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
10;10;;1;230;15;a86667f6-76a5-440d-811a-9885aa6702b0
10;10;;1;237;15;452f497d-cfb1-4464-b332-d24c335eec12
10;10;;1;17;15;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
11;11;;1;230;16;a86667f6-76a5-440d-811a-9885aa6702b0
11;11;;1;237;16;452f497d-cfb1-4464-b332-d24c335eec12
11;11;;1;17;16;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
12;12;;1;230;17;a86667f6-76a5-440d-811a-9885aa6702b0
12;12;;1;237;17;452f497d-cfb1-4464-b332-d24c335eec12
12;12;;1;17;17;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
13;13;;1;230;18;a86667f6-76a5-440d-811a-9885aa6702b0
13;13;;1;237;18;452f497d-cfb1-4464-b332-d24c335eec12
13;13;;1;17;18;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
14;14;;1;230;19;a86667f6-76a5-440d-811a-9885aa6702b0
14;14;;1;237;19;452f497d-cfb1-4464-b332-d24c335eec12
14;14;;1;17;19;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
15;15;;1;230;20;a86667f6-76a5-440d-811a-9885aa6702b0
15;15;;1;237;20;452f497d-cfb1-4464-b332-d24c335eec12
15;15;;1;17;20;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
16;16;;1;230;21;a86667f6-76a5-440d-811a-9885aa6702b0
16;16;;1;237;21;452f497d-cfb1-4464-b332-d24c335eec12
16;16;;1;17;21;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
17;17;;1;230;22;a86667f6-76a5-440d-811a-9885aa6702b0
17;17;;1;237;22;452f497d-cfb1-4464-b332-d24c335eec12
17;17;;1;17;22;08d4140d-4c1a-4441-b31e-ffe7fc7a6483
